method,n,mean,std,median,q1,q3,ci_lower,ci_upper,min,max,success_rate,success_count,total_count
AHA*,96,0.01555012414852778,0.009152279907420147,0.014449715614318848,0.007611215114593506,0.022864699363708496,0.013695699882899953,0.017404548414155608,0.0,0.034040212631225586,94.79166666666666,91,96
FieldD*Hybrid,96,0.4946690797805786,0.2764776840738256,0.3866584300994873,0.2528984546661377,0.7355561256408691,0.438649494339861,0.5506886652212962,0.02348780632019043,0.9665415287017822,100.0,96,96
TA*,96,15.462509696682295,23.278127390640382,6.831165313720703,0.33669352531433105,15.573412716388702,10.745922711992119,20.17909668137247,0.0,105.2434184551239,96.875,93,96
Theta*,96,0.2338098312417666,0.43666465991110565,0.09009408950805664,0.014653205871582031,0.2328587770462036,0.14533334784392293,0.32228631463961027,0.0029947757720947266,2.4566378593444824,100.0,96,96
