path,size_bytes,mtime,ctime,suffix,category,reason
results/archive_20251117_old/benchmark_results_20251117_093309.json,1366,2025-11-17 09:33:09,2025-12-16 12:57:54,.json,keep,likely important by keyword
results/archive_20251117_old/benchmark_results_20251117_102444.json,2082,2025-11-17 10:24:44,2025-12-16 12:57:54,.json,keep,likely important by keyword
results/archive_20251117_old/benchmark_results_20251117_101808.json,4776,2025-11-17 10:18:08,2025-12-16 12:57:54,.json,keep,likely important by keyword
results/archive_20251117_old/benchmark_results_20251117_103727.json,2376,2025-11-17 10:37:27,2025-12-16 12:57:54,.json,keep,likely important by keyword
results/archive_20251117_old/benchmark_results_20251117_112340.json,10621,2025-11-17 11:23:40,2025-12-16 12:57:54,.json,keep,likely important by keyword
results/archive_20251117_old/benchmark_results_20251114_202803.json,4987,2025-11-14 20:28:03,2025-12-16 12:57:54,.json,keep,likely important by keyword
results/archive_20251117_old/benchmark_results_20251117_180500.json,11051,2025-11-17 18:05:00,2025-12-16 12:57:54,.json,keep,likely important by keyword
results/archive_20251117_old/benchmark_results_20251117_194758.json,11183,2025-11-17 19:47:58,2025-12-16 12:57:54,.json,keep,likely important by keyword
results/archive_20251117_old/benchmark_results_20251117_120210.json,11124,2025-11-17 12:02:10,2025-12-16 12:57:54,.json,keep,likely important by keyword
results/archive_20251117_old/benchmark_results_20251114_202358.json,4991,2025-11-14 20:23:58,2025-12-16 12:57:54,.json,keep,likely important by keyword
results/archive_20251117_old/benchmark_results_20251117_105319.json,9955,2025-11-17 10:53:19,2025-12-16 12:57:54,.json,keep,likely important by keyword
results/archive_20251117_old/benchmark_results_20251114_143341.json,13204,2025-11-14 14:33:41,2025-12-16 12:57:54,.json,keep,likely important by keyword
results/archive_20251117_old/benchmark_results_20251117_191213.json,11363,2025-11-17 19:12:13,2025-12-16 12:57:54,.json,keep,likely important by keyword
scenarios/benchmark_scenarios.json,4616,2025-11-07 12:00:40,2025-11-07 12:00:40,.json,keep,likely important by keyword
ros2/ros2_ws/src/benchmarks/standard_benchmark_v1.0.json,48118,2025-10-25 16:45:56,2025-10-25 16:45:56,.json,keep,likely important by keyword
ros2/ros2_ws/src/build/bunker_unity/.cmake/api/v1/reply/target-bunker_unity_uninstall-6eb551c00cd65476c096.json,1863,2025-09-05 17:50:10,2025-09-05 17:50:10,.json,keep,likely important by keyword
ros2/ros2_ws/src/build/ros_tcp_endpoint/build/lib/ros_tcp_endpoint/unity_service.py,2016,2025-09-04 03:46:39,2025-09-05 17:51:29,.py,keep,likely important by keyword
ros2/ros2_ws/src/build/topic_based_ros2_control/.cmake/api/v1/reply/target-topic_based_ros2_control_uninstall-470756b3b53c0be4744e.json,1936,2025-09-05 17:50:11,2025-09-05 17:50:11,.json,keep,likely important by keyword
ros2/ros2_ws/src/build/topic_based_ros2_control/.cmake/api/v1/reply/target-topic_based_ros2_control-d3665d30b34287a58f25.json,34348,2025-09-05 17:50:11,2025-09-05 17:50:11,.json,keep,likely important by keyword
ros2/ros2_ws/src/path_planner_3d/README.md,4657,2025-10-17 11:41:12,2025-10-17 11:41:12,.md,keep,explicitly listed important
ros2/ros2_ws/src/path_planner_3d/path_planner_3d/dijkstra_planner_3d.py,10917,2025-11-07 12:40:06,2025-11-17 21:04:09,.py,keep,likely important by keyword
ros2/ros2_ws/src/path_planner_3d/path_planner_3d/ta_star_planner_node.py,17142,2025-11-17 09:28:32,2025-11-17 21:04:09,.py,keep,likely important by keyword
ros2/ros2_ws/src/path_planner_3d/path_planner_3d/simple_dwa_planner.py,10788,2025-12-16 21:01:39,2025-12-16 21:01:39,.py,keep,likely important by keyword
ros2/ros2_ws/src/path_planner_3d/path_planner_3d/dijkstra_dwa_planner.py,5397,2025-12-16 21:01:39,2025-12-16 21:01:39,.py,keep,likely important by keyword
ros2/ros2_ws/src/path_planner_3d/path_planner_3d/ara_star_planner_3d.py,2809,2025-11-17 19:59:20,2025-11-17 21:04:09,.py,keep,likely important by keyword
ros2/ros2_ws/src/path_planner_3d/path_planner_3d/weighted_astar_planner_3d.py,11625,2025-11-07 12:40:06,2025-11-17 21:04:09,.py,keep,likely important by keyword
ros2/ros2_ws/src/path_planner_3d/path_planner_3d/benchmark_planners.py,21637,2025-11-21 15:24:06,2025-11-21 15:24:06,.py,keep,likely important by keyword
ros2/ros2_ws/src/path_planner_3d/path_planner_3d/benchmark_full.py,19588,2025-11-21 18:24:08,2025-11-21 18:24:08,.py,keep,likely important by keyword
ros2/ros2_ws/src/path_planner_3d/path_planner_3d/dstar_lite_planner.py,7253,2025-11-21 12:56:09,2025-11-21 12:56:09,.py,keep,likely important by keyword
ros2/ros2_ws/src/path_planner_3d/path_planner_3d/hpa_star_planner.py,15171,2025-11-21 13:28:53,2025-11-21 13:28:53,.py,keep,likely important by keyword
ros2/ros2_ws/src/path_planner_3d/path_planner_3d/astar_planner_3d.py,14372,2025-11-07 11:52:52,2025-11-17 21:04:09,.py,keep,likely important by keyword
ros2/ros2_ws/src/path_planner_3d/path_planner_3d/path_planner_node.py,17476,2025-10-06 19:49:37,2025-11-17 21:04:09,.py,keep,likely important by keyword
ros2/ros2_ws/src/path_planner_3d/path_planner_3d/base_planner.py,5182,2025-10-31 10:42:42,2025-11-17 21:04:09,.py,keep,likely important by keyword
ros2/ros2_ws/src/path_planner_3d/path_planner_3d/adaptive_terrain_planner.py,14136,2025-11-21 12:39:01,2025-11-21 12:39:01,.py,keep,likely important by keyword
ros2/ros2_ws/src/path_planner_3d/path_planner_3d/export_unity_data.py,8951,2025-11-23 15:30:25,2025-11-23 15:30:25,.py,keep,likely important by keyword
ros2/ros2_ws/src/path_planner_3d/path_planner_3d/astar_planner.py,8853,2025-10-31 10:42:42,2025-11-17 21:04:09,.py,keep,likely important by keyword
ros2/ros2_ws/src/path_planner_3d/path_planner_3d/rrt_star_planner_3d.py,11402,2025-11-17 19:45:37,2025-11-17 21:04:09,.py,keep,likely important by keyword
ros2/ros2_ws/src/path_planner_3d/path_planner_3d/safety_first_planner.py,9209,2025-11-21 12:56:09,2025-11-21 12:56:09,.py,keep,likely important by keyword
ros2/ros2_ws/src/path_planner_3d/path_planner_3d/theta_star_planner.py,8078,2025-10-31 10:42:35,2025-11-17 21:04:09,.py,keep,likely important by keyword
ros2/ros2_ws/src/path_planner_3d/path_planner_3d/benchmark_results/benchmark_results.json,142469,2025-11-21 19:38:52,2025-11-21 19:38:52,.json,keep,likely important by keyword
ros2/ros2_ws/src/path_planner_3d/path_planner_3d/benchmark_results/dijkstra_detailed_stats.csv,489,2025-12-17 23:28:42,2025-12-17 23:28:42,.csv,keep,explicitly listed important
ros2/ros2_ws/src/path_planner_3d/path_planner_3d/benchmark_results/full_benchmark_results.json,142469,2025-11-21 19:38:52,2025-11-21 19:38:52,.json,keep,explicitly listed important
ros2/ros2_ws/src/path_planner_3d/path_planner_3d/benchmark_results/dijkstra_dwa_results.json,30670,2025-12-17 21:41:25,2025-12-17 21:41:25,.json,keep,explicitly listed important
ros2/ros2_ws/src/path_planner_3d/path_planner_3d/benchmark_results/all_planners_comparison.csv,1371,2025-12-17 23:28:41,2025-12-17 23:28:41,.csv,keep,explicitly listed important
ros2/ros2_ws/src/path_planner_3d/path_planner_3d/benchmark_results/complexity_performance_full.csv,785,2025-12-17 23:02:30,2025-12-17 23:02:30,.csv,keep,explicitly listed important
ros2/ros2_ws/src/path_planner_3d/path_planner_3d/benchmark_results/ta_star_by_complexity.csv,293,2025-12-17 23:28:41,2025-12-17 23:28:41,.csv,keep,explicitly listed important
ros2/ros2_ws/src/path_planner_3d/path_planner_3d/benchmark_results/multiscale_benchmark_results.json,133550,2025-11-21 16:45:48,2025-11-21 16:45:48,.json,keep,likely important by keyword
ros2/ros2_ws/src/path_planner_3d/path_planner_3d/benchmark_results/all_planners_by_size_barplot.png,31188,2025-12-17 23:28:42,2025-12-17 23:28:42,.png,keep,likely important by keyword
ros2/ros2_ws/src/path_planner_3d/path_planner_3d/benchmark_results/scenario_complexity_full.csv,4163,2025-12-17 23:02:30,2025-12-17 23:02:30,.csv,keep,explicitly listed important
ros2/ros2_ws/src/path_planner_3d/path_planner_3d/benchmark_results/ta_star_complexity_boxplot.png,19391,2025-12-17 23:28:42,2025-12-17 23:28:42,.png,keep,likely important by keyword
ros2/ros2_ws/src/path_planner_3d/path_planner_3d/benchmark_results/presentation/ta_star_complexity_boxplot_300dpi.png,134620,2025-12-23 03:11:37,2025-12-23 03:11:37,.png,keep,likely important by keyword
ros2/ros2_ws/src/path_planner_3d/path_planner_3d/benchmark_results/presentation/all_planners_by_size.pdf,23063,2025-12-23 03:11:36,2025-12-23 03:11:36,.pdf,keep,likely important by keyword
ros2/ros2_ws/src/path_planner_3d/path_planner_3d/benchmark_results/presentation/all_planners_by_size_300dpi.png,183334,2025-12-23 03:11:36,2025-12-23 03:11:36,.png,keep,likely important by keyword
ros2/ros2_ws/src/path_planner_3d/path_planner_3d/benchmark_results/presentation/ta_star_complexity_boxplot.pdf,14572,2025-12-23 03:11:37,2025-12-23 03:11:37,.pdf,keep,likely important by keyword
ros2/ros2_ws/src/install/ros_tcp_endpoint/lib/python3.10/site-packages/ros_tcp_endpoint/unity_service.py,2016,2025-09-04 03:46:39,2025-09-05 17:51:29,.py,keep,likely important by keyword
ros2/ros2_ws/src/unity_toolbox/topic_based_ros2_control-main/README.md,525,2025-09-04 03:46:39,2025-09-04 04:19:38,.md,keep,explicitly listed important
